movementType,data
wrong,"[[74.0, 90.0, 0.223858, -9.788693, 1.789666], [64.0, 88.0, 0.035913, -10.01973, 1.877054], [48.0, 88.0, 0.70629, -8.808268, 3.694253], [57.0, 80.0, 0.976834, -5.590461, 5.613206], [37.0, 49.0, 1.017536, -2.52708, 6.415264], [16.0, 34.0, 1.784877, 9.989806, 7.012617], [22.0, 79.0, 1.431733, 12.87482, 6.324284], [31.0, 38.0, 1.292869, 8.202535, 3.983952], [51.0, 38.0, 1.144428, 8.76637, 4.882974], [52.0, 38.0, 1.027112, 8.186973, 4.849455], [52.0, 38.0, 1.298854, 8.821436, 4.625598], [46.0, 36.0, 1.108515, 8.803479, 4.679467], [45.0, 48.0, 1.447295, 10.8589, 5.932832], [30.0, 45.0, 1.080982, 8.3821, 6.384139], [29.0, 36.0, 1.279701, 2.79523, 8.27077], [49.0, 31.0, 1.276109, -2.950854, 8.191761], [36.0, 43.0, 1.572991, -5.975927, 6.882133], [55.0, 64.0, 1.646014, -9.193734, 4.066552], [69.0, 70.0, 0.539893, -9.714474, 2.385822], [89.0, 67.0, -0.117316, -9.902418, 1.181539]]"
wrong,"[[49.0, 93.0, 0.112527, -9.779117, 1.780089], [50.0, 93.0, 0.058658, -10.09395, 1.601721], [48.0, 91.0, 0.671574, -8.465898, 3.309984], [43.0, 77.0, 1.46166, -2.400187, 6.519411], [48.0, 62.0, 0.882263, 6.613982, 8.763975], [24.0, 39.0, 0.641646, 8.918402, 6.707356], [49.0, 48.0, 0.731429, 9.411607, 5.503073], [54.0, 50.0, 0.812831, 8.933964, 4.893748], [60.0, 63.0, 0.967258, 8.853758, 5.050569], [51.0, 76.0, 0.970849, 9.788693, 5.884948], [41.0, 40.0, 0.556652, 4.094085, 5.870583], [64.0, 48.0, 1.450886, 10.75595, 9.627085], [40.0, 70.0, 1.768118, 9.062054, 9.519346], [52.0, 39.0, 0.565032, -2.639607, 5.25647], [64.0, 38.0, 1.161188, -9.315839, 2.661155], [81.0, 61.0, 1.11091, -9.412804, 1.632846], [65.0, 72.0, 0.003591, -9.780314, 1.896208], [66.0, 74.0, 0.055067, -9.624691, 1.74657], [62.0, 78.0, 0.055067, -9.771935, 1.793257], [62.0, 79.0, 0.147243, -9.660604, 1.968034]]"
correct,"[[62.0, 79.0, 0.399832, -9.701305, 1.519121], [67.0, 80.0, 0.227449, -9.877279, 1.335965], [56.0, 81.0, 0.638055, -8.754398, 1.215057], [54.0, 82.0, 0.893037, -9.296685, 4.088099], [61.0, 80.0, 2.401384, -8.559271, 4.754885], [61.0, 69.0, 3.487155, -7.983466, 5.742493], [68.0, 56.0, 3.148375, -7.511808, 6.172252], [65.0, 33.0, 3.157952, -7.248446, 7.059304], [75.0, 30.0, 2.416947, -6.062119, 7.562086], [57.0, 66.0, 4.175488, -5.477933, 7.388506], [50.0, 72.0, 3.122039, -3.834314, 8.735245], [40.0, 81.0, 3.083732, -3.628413, 10.11071], [55.0, 67.0, 4.028244, -4.463989, 9.029732], [77.0, 60.0, 4.229357, -5.164293, 8.27077], [76.0, 57.0, 3.548207, -5.572505, 6.766014], [79.0, 53.0, 3.289633, -6.22253, 6.495469], [64.0, 34.0, 2.896984, -7.034164, 6.027403], [77.0, 31.0, 1.983596, -7.514202, 4.473566], [84.0, 31.0, 2.163161, -8.625112, 4.534618], [82.0, 29.0, 1.661576, -9.299079, 2.768894]]"
correct,"[[49.0, 61.0, 0.264559, -9.837775, 1.425747], [51.0, 63.0, 0.122104, -10.18733, 1.355118], [43.0, 60.0, 0.096965, -8.657434, 3.916914], [50.0, 50.0, 0.2478, -7.973889, 5.437232], [60.0, 44.0, 1.411382, -7.594408, 6.114791], [57.0, 38.0, 1.771709, -6.646304, 7.386112], [68.0, 50.0, 1.747767, -5.49589, 8.316259], [65.0, 57.0, 1.14802, -4.278439, 8.810662], [64.0, 60.0, 0.944513, -2.677915, 10.22923], [52.0, 66.0, 1.284489, -3.077746, 10.71525], [70.0, 52.0, 1.808819, -4.124012, 9.14226], [82.0, 45.0, 2.278083, -5.398925, 8.037335], [84.0, 48.0, 1.164779, -6.060922, 7.563283], [65.0, 50.0, 1.656788, -6.714539, 6.104017], [48.0, 44.0, 1.532289, -7.012617, 5.125986], [49.0, 43.0, 1.606509, -8.204929, 4.38498], [42.0, 45.0, 1.256956, -8.938752, 3.63799], [41.0, 42.0, 0.873884, -9.184157, 2.863465], [37.0, 37.0, 0.786495, -9.805453, 2.018312], [37.0, 45.0, 0.181959, -9.916783, 1.061828]]"
correct,"[[33.0, 69.0, 0.383072, -9.455899, 2.298434], [18.0, 75.0, 0.398635, -9.00579, 3.760094], [19.0, 66.0, 0.505177, -8.380903, 4.493917], [16.0, 63.0, 0.591368, -6.842629, 5.793968], [38.0, 42.0, 0.901417, -6.545747, 7.115568], [41.0, 41.0, 1.13126, -5.287594, 8.403648], [41.0, 42.0, 0.796072, -4.599261, 8.884883], [49.0, 52.0, 0.593762, -3.733758, 9.285912], [42.0, 58.0, 1.175553, -3.259706, 10.51892], [46.0, 65.0, 1.438915, -3.241749, 11.36647], [55.0, 56.0, 1.493982, -3.642778, 9.138668], [64.0, 54.0, 1.567005, -5.058948, 9.093178], [42.0, 53.0, 1.854309, -5.358223, 7.594408], [22.0, 60.0, 2.148796, -6.38773, 6.609194], [22.0, 52.0, 1.587356, -7.268796, 5.814319], [13.0, 58.0, 1.66397, -8.348581, 5.311536], [29.0, 60.0, 1.586159, -8.468291, 4.417302], [30.0, 57.0, 1.157596, -9.088389, 3.894169], [50.0, 55.0, 1.083376, -8.870518, 3.439271], [54.0, 51.0, 0.708684, -9.396045, 3.153164]]"
wrong,"[[50.0, 98.0, 0.258574, -9.775525, 1.337162], [48.0, 100.0, 0.12809, -10.58237, 0.839168], [58.0, 49.0, 0.68953, -7.821857, 4.173094], [46.0, 30.0, 0.709881, -0.542287, 4.738125], [18.0, 29.0, 1.22224, 8.51857, 6.688202], [10.0, 18.0, 0.822408, 11.71962, 5.30196], [4.0, 17.0, 1.189918, 7.839813, 3.560178], [20.0, 19.0, 0.981623, 9.722853, 4.361038], [24.0, 19.0, 0.80924, 8.678981, 4.49272], [21.0, 19.0, 1.318008, 8.78672, 4.359841], [20.0, 19.0, 0.84635, 8.889671, 4.490325], [27.0, 22.0, 1.438915, 10.1574, 5.747281], [8.0, 19.0, 1.217452, 6.108806, 7.62673], [8.0, 19.0, 0.879869, -3.141193, 7.017405], [41.0, 20.0, 1.450886, -7.483078, 4.541801], [43.0, 20.0, 0.04549, -11.29584, 0.875081], [74.0, 24.0, 0.513556, -9.574412, 1.377863], [73.0, 30.0, 0.365116, -9.762358, 1.369483], [68.0, 65.0, 0.378284, -9.749189, 1.484405], [61.0, 85.0, 0.265756, -9.67856, 2.11408]]"
wrong,"[[51.0, 99.0, 0.331597, -9.847352, 1.54426], [52.0, 97.0, 0.263362, -10.00776, 1.562217], [44.0, 87.0, 0.920571, -9.340978, 3.0143], [37.0, 48.0, 1.241394, -5.90051, 6.01184], [49.0, 34.0, 0.420182, 1.197101, 11.03966], [32.0, 26.0, 1.104924, 5.549759, 8.822633], [17.0, 32.0, 0.582988, 7.856573, 6.393716], [30.0, 16.0, 0.713472, 9.731233, 5.965154], [20.0, 15.0, 1.353921, 9.956287, 4.094085], [28.0, 18.0, 0.849942, 8.832211, 3.965995], [29.0, 19.0, 0.70629, 9.485827, 4.337096], [29.0, 20.0, 0.764947, 9.244013, 4.194642], [19.0, 22.0, 0.939724, 10.25915, 5.055357], [9.0, 24.0, 1.25097, 8.979453, 5.961562], [21.0, 27.0, 0.544681, 8.135497, 7.394492], [17.0, 24.0, 1.205481, 1.997961, 8.368932], [24.0, 22.0, 1.161188, -3.064578, 8.625112], [21.0, 29.0, 1.862689, -7.200562, 5.807136], [34.0, 27.0, 1.188721, -9.434352, 2.498349], [55.0, 29.0, -0.001197, -10.76672, 0.144849]]"
correct,"[[40.0, 69.0, 0.213084, -9.646238, 1.698686], [40.0, 70.0, -0.058658, -9.096769, 3.084929], [33.0, 66.0, 0.955287, -8.415619, 4.143166], [24.0, 56.0, 0.968455, -8.316259, 5.418078], [31.0, 62.0, 0.620098, -7.328651, 6.236896], [38.0, 60.0, 0.609324, -7.218518, 6.127959], [39.0, 57.0, 0.839168, -5.713762, 7.419631], [37.0, 57.0, 0.659603, -5.035006, 8.615535], [43.0, 51.0, 0.432153, -4.249708, 9.394848], [49.0, 58.0, 1.039083, -3.562572, 10.47224], [56.0, 55.0, 1.277307, -4.315548, 10.09156], [69.0, 48.0, 1.14802, -4.417302, 8.2995], [63.0, 49.0, 1.19351, -5.133168, 7.72968], [61.0, 50.0, 1.221043, -6.817489, 6.936002], [68.0, 55.0, 1.464054, -7.869741, 6.143522], [66.0, 65.0, 1.052252, -8.605958, 4.916493], [89.0, 52.0, 1.023521, -8.737639, 3.983952], [113.0, 50.0, 0.648829, -8.993818, 3.137601], [130.0, 49.0, 0.266954, -9.623494, 2.573767], [144.0, 46.0, 0.205901, -9.762358, 1.991976]]"
correct,"[[38.0, 56.0, 0.146046, -9.671378, 1.715446], [37.0, 54.0, 0.68953, -9.394848, 1.292869], [27.0, 60.0, 1.030704, -9.208099, 3.937265], [30.0, 52.0, 1.01993, -8.244433, 4.729745], [34.0, 52.0, 0.700304, -7.238869, 6.338649], [37.0, 46.0, 0.471658, -6.926425, 7.095217], [54.0, 49.0, 1.010353, -6.216545, 7.718906], [66.0, 45.0, 1.142034, -5.415684, 8.335413], [62.0, 50.0, 1.383849, -5.108029, 8.804677], [60.0, 61.0, 0.934936, -4.639963, 9.578004], [64.0, 58.0, 0.690727, -5.035006, 10.22444], [69.0, 41.0, 0.808043, -4.685453, 7.949947], [77.0, 42.0, 1.212663, -6.496666, 8.137892], [61.0, 50.0, 1.188721, -6.4416, 7.603985], [48.0, 50.0, 1.411382, -7.13113, 6.496666], [25.0, 61.0, 1.356315, -7.776367, 5.194221], [21.0, 58.0, 1.623269, -8.5473, 4.195838], [20.0, 56.0, 1.228225, -8.965088, 3.86065], [31.0, 55.0, 1.307234, -9.108741, 3.702633], [48.0, 60.0, 0.758962, -9.214086, 3.144784]]"
correct,"[[104.0, 53.0, -0.075417, -9.070433, 1.278504], [43.0, 70.0, 0.135272, -10.05325, 2.671929], [50.0, 58.0, 0.53271, -8.567651, 3.664326], [41.0, 60.0, 0.594959, -8.429984, 4.006697], [48.0, 57.0, 0.530316, -8.281544, 5.070919], [31.0, 55.0, 0.797269, -7.384915, 6.038177], [49.0, 42.0, 0.81762, -6.715736, 7.032968], [60.0, 46.0, 0.217872, -5.944803, 7.192182], [45.0, 57.0, 0.471658, -5.73531, 8.750807], [38.0, 58.0, 0.403423, -4.696227, 9.387665], [62.0, 52.0, 0.94571, -5.778406, 9.382876], [79.0, 43.0, 0.632069, -6.136339, 8.180987], [68.0, 55.0, 0.769736, -6.798336, 7.824251], [48.0, 56.0, 0.627281, -7.174225, 6.586449], [43.0, 61.0, 0.68953, -7.443573, 5.847837], [20.0, 67.0, 0.536301, -8.10557, 5.589264], [19.0, 70.0, 0.440533, -8.588001, 4.315548], [27.0, 68.0, 0.684742, -8.863335, 4.19105], [19.0, 81.0, 0.158017, -9.31943, 3.41054], [20.0, 86.0, 0.019154, -9.380483, 2.782062]]"
wrong,"[[45.0, 96.0, 0.067038, -9.708488, 2.051831], [51.0, 89.0, 0.049081, -10.13226, 2.08535], [60.0, 73.0, 0.827197, -7.8865, 4.528633], [42.0, 67.0, 1.383849, -2.469619, 7.843405], [43.0, 37.0, 1.83755, 4.903325, 7.267599], [24.0, 36.0, 1.780089, 12.41872, 5.272032], [18.0, 28.0, 1.734599, 8.22528, 3.645172], [33.0, 20.0, 1.693898, 8.261193, 4.893748], [31.0, 19.0, 2.07697, 8.761581, 4.927267], [43.0, 24.0, 1.46166, 9.544485, 5.620389], [41.0, 22.0, 1.181539, 7.486669, 3.845088], [14.0, 20.0, 1.655591, 7.91164, 4.406528], [37.0, 27.0, 1.321599, 8.99741, 6.688202], [12.0, 34.0, 1.821988, 9.844957, 7.252037], [24.0, 38.0, 1.016339, 0.039504, 6.029797], [68.0, 27.0, 0.869095, -7.764396, 4.11683], [93.0, 37.0, -0.933739, -10.54287, 0.717063], [91.0, 61.0, -0.390255, -9.624691, 1.787272], [82.0, 64.0, 0.275333, -9.630676, 1.78368], [86.0, 61.0, -0.040701, -9.824607, 1.771709]]"
wrong,"[[56.0, 70.0, 0.252588, -9.750386, 1.647211], [70.0, 45.0, 0.035913, -9.927557, 1.425747], [74.0, 39.0, 0.238223, -10.36091, 1.83755], [27.0, 22.0, 0.337582, -3.708618, 6.805518], [34.0, 14.0, 2.106898, 5.995081, 8.519767], [3.0, 21.0, 0.842759, 9.340978, 6.695385], [15.0, 21.0, 0.835576, 10.16219, 4.978743], [10.0, 16.0, 0.717063, 8.597578, 4.02585], [27.0, 19.0, 0.3304, 8.66701, 4.605247], [28.0, 28.0, 0.7434, 8.817844, 4.642357], [27.0, 28.0, 0.741005, 8.66701, 4.469975], [32.0, 29.0, 0.56982, 8.74123, 4.650737], [36.0, 31.0, 0.608127, 9.68694, 5.295974], [19.0, 31.0, 0.669179, 8.455123, 5.353435], [14.0, 29.0, 0.949301, 7.735666, 7.44477], [20.0, 25.0, 1.027112, 3.630807, 8.595184], [24.0, 24.0, 2.16795, -0.234632, 9.680955], [30.0, 25.0, 1.843535, -4.175488, 8.2169], [28.0, 24.0, 2.445677, -6.721721, 6.076484], [33.0, 25.0, 1.889025, -8.92319, 3.828329]]"
correct,"[[43.0, 87.0, -0.270545, -9.527725, 2.063802], [31.0, 88.0, 1.307234, -7.996634, 3.087323], [45.0, 76.0, 1.831564, -8.59279, 4.701015], [67.0, 52.0, 1.215057, -8.091205, 4.995502], [56.0, 49.0, 1.035492, -6.945579, 6.678626], [64.0, 25.0, 2.528277, -6.398504, 7.466318], [72.0, 22.0, 2.972401, -5.453991, 8.91481], [68.0, 31.0, 2.771288, -5.064934, 8.876503], [64.0, 68.0, 1.504756, -3.566164, 9.387665], [55.0, 70.0, 0.990002, -3.209427, 9.994595], [56.0, 72.0, 1.14802, -3.314772, 10.35492], [72.0, 66.0, 2.911349, -3.701436, 10.25077], [72.0, 60.0, 2.999935, -4.653131, 8.447941], [76.0, 60.0, 3.667917, -5.737704, 7.734468], [96.0, 37.0, 2.82037, -7.192182, 6.469133], [99.0, 39.0, 2.841918, -7.544129, 6.127959], [86.0, 37.0, 2.472013, -7.717709, 5.215768], [102.0, 32.0, 1.776498, -8.695741, 4.074931], [116.0, 31.0, 1.157596, -9.242816, 2.725799], [108.0, 39.0, 0.679953, -9.606734, 1.818396]]"
correct,"[[45.0, 64.0, 0.169988, -9.82341, 1.456872], [39.0, 67.0, 0.032322, -9.77792, 1.620875], [33.0, 65.0, 0.555455, -9.14226, 3.41054], [34.0, 56.0, 0.371101, -8.705318, 4.387374], [46.0, 60.0, 0.869095, -7.334637, 5.517438], [42.0, 56.0, 0.870292, -7.575254, 6.471527], [49.0, 53.0, 0.905008, -7.007828, 6.918046], [31.0, 52.0, 1.138443, -5.655105, 7.89488], [33.0, 52.0, 1.310825, -5.363012, 8.274361], [37.0, 52.0, 0.885855, -4.661511, 8.708909], [39.0, 56.0, 0.810437, -3.900155, 9.234436], [32.0, 62.0, 0.879869, -3.769671, 10.72602], [51.0, 49.0, 0.685939, -4.631583, 9.489418], [64.0, 45.0, 0.755371, -4.847061, 7.734468], [68.0, 53.0, 0.815226, -6.14831, 7.569269], [51.0, 60.0, 1.06542, -6.946776, 7.536947], [43.0, 67.0, 1.074997, -7.23408, 5.919664], [65.0, 63.0, 1.278504, -8.2995, 4.74052], [46.0, 72.0, 1.120486, -8.829816, 4.255693], [45.0, 72.0, 0.855927, -9.297882, 3.787627]]"
wrong,"[[66.0, 93.0, 0.280122, -9.762358, 1.648408], [63.0, 91.0, 0.183156, -10.30105, 1.692701], [60.0, 85.0, 0.523133, -7.686585, 4.398149], [41.0, 48.0, -0.020351, -0.986411, 6.749255], [40.0, 28.0, 0.717063, 8.046912, 7.595605], [40.0, 15.0, 1.018733, 10.59674, 5.925649], [57.0, 21.0, 1.727417, 7.68419, 4.729745], [61.0, 25.0, 0.96606, 7.990648, 5.245696], [56.0, 36.0, 1.37068, 8.282741, 5.179855], [43.0, 42.0, 1.024718, 8.706514, 5.00867], [37.0, 41.0, 1.122881, 8.597578, 4.882974], [30.0, 64.0, 0.749385, 11.58434, 6.752846], [15.0, 39.0, 1.599327, 7.352593, 6.968324], [32.0, 30.0, 2.859874, -2.578555, 7.666234], [58.0, 32.0, 1.072602, -7.086837, 5.522226], [75.0, 49.0, 1.040281, -9.725247, 2.347515], [40.0, 75.0, 0.998382, -9.751583, 2.15957], [31.0, 75.0, 1.05704, -9.53012, 2.305616], [34.0, 77.0, 0.565032, -9.721656, 2.430115], [34.0, 77.0, 0.565032, -9.721656, 2.430115]]"
wrong,"[[106.0, 79.0, 0.444124, -9.709685, 2.226608], [102.0, 79.0, 0.379481, -9.543288, 2.110489], [100.0, 85.0, 0.286107, -10.0748, 2.37026], [116.0, 51.0, 0.007183, -9.315839, 3.406949], [74.0, 44.0, 1.090559, -2.979584, 5.286397], [27.0, 46.0, 2.389413, 11.80222, 7.349002], [27.0, 39.0, 1.238999, 10.26275, 4.936844], [22.0, 25.0, 2.108095, 8.580819, 4.220978], [48.0, 25.0, 1.665167, 8.252813, 4.924873], [45.0, 26.0, 1.285686, 8.561666, 4.675876], [43.0, 30.0, 1.431733, 8.841787, 5.005079], [41.0, 33.0, 1.47842, 8.204929, 4.675876], [37.0, 44.0, 1.073799, 11.0265, 6.142324], [19.0, 48.0, 1.084573, 7.621941, 7.277176], [45.0, 45.0, 0.963666, -2.169147, 6.703765], [98.0, 25.0, 1.258153, -8.468291, 3.405752], [113.0, 33.0, 0.198719, -10.10832, 1.181539], [117.0, 36.0, -0.150835, -9.840169, 1.851915], [115.0, 41.0, 0.316035, -9.648633, 1.872266], [115.0, 66.0, 0.21069, -9.668983, 2.424129]]"
